iter	RMSE	RMSE
0	13.88492056	13.88492056
1	13.20999798	13.20999798
2	12.56782409	12.56782409
3	11.96154693	11.96154693
4	11.38072679	11.38072679
5	10.83383087	10.83383087
6	10.31491072	10.31491072
7	9.819277457	9.819277457
8	9.349570214	9.349570214
9	8.903467618	8.903467618
10	8.48065574	8.48065574
11	8.079803274	8.079803274
12	7.702008883	7.702008883
13	7.340219066	7.340219066
14	7.001710112	7.001710112
15	6.676671737	6.676671737
16	6.37092292	6.37092292
17	6.080114378	6.080114378
18	5.805157295	5.805157295
19	5.544320887	5.544320887
20	5.297182878	5.297182878
21	5.064719715	5.064719715
22	4.845410241	4.845410241
23	4.636941712	4.636941712
24	4.440787474	4.440787474
25	4.255996868	4.255996868
26	4.083036806	4.083036806
27	3.918712591	3.918712591
28	3.76340193	3.76340193
29	3.617409283	3.617409283
30	3.481119827	3.481119827
31	3.353512622	3.353512622
32	3.232124535	3.232124535
33	3.11964052	3.11964052
34	3.012874347	3.012874347
35	2.913808433	2.913808433
36	2.822240009	2.822240009
37	2.736031226	2.736031226
38	2.655543618	2.655543618
39	2.579649062	2.579649062
40	2.510160013	2.510160013
41	2.445782696	2.445782696
42	2.385325226	2.385325226
43	2.329811918	2.329811918
44	2.276562983	2.276562983
45	2.228149026	2.228149026
46	2.183330105	2.183330105
47	2.142659501	2.142659501
48	2.102983548	2.102983548
49	2.066909049	2.066909049
50	2.034273674	2.034273674
51	2.003812623	2.003812623
52	1.976498196	1.976498196
53	1.950076884	1.950076884
54	1.924248188	1.924248188
55	1.902686911	1.902686911
56	1.883119842	1.883119842
57	1.864564726	1.864564726
58	1.846462776	1.846462776
59	1.831117262	1.831117262
60	1.816260422	1.816260422
61	1.801243766	1.801243766
62	1.787492522	1.787492522
63	1.776024691	1.776024691
64	1.764542195	1.764542195
65	1.754637922	1.754637922
66	1.744347182	1.744347182
67	1.734703384	1.734703384
68	1.726226813	1.726226813
69	1.71885649	1.71885649
70	1.71230226	1.71230226
71	1.705847876	1.705847876
72	1.699317372	1.699317372
73	1.693451241	1.693451241
74	1.686802543	1.686802543
75	1.68164472	1.68164472
76	1.676983715	1.676983715
77	1.672306946	1.672306946
78	1.668130846	1.668130846
79	1.663933747	1.663933747
80	1.658769209	1.658769209
81	1.654961691	1.654961691
82	1.650783556	1.650783556
83	1.647344256	1.647344256
84	1.642767763	1.642767763
85	1.640190174	1.640190174
86	1.636966368	1.636966368
87	1.632322503	1.632322503
88	1.628990313	1.628990313
89	1.625918292	1.625918292
90	1.623589654	1.623589654
91	1.62074314	1.62074314
92	1.618813986	1.618813986
93	1.614884725	1.614884725
94	1.613788058	1.613788058
95	1.612464013	1.612464013
96	1.610933363	1.610933363
97	1.608068924	1.608068924
98	1.6062628	1.6062628
99	1.604283656	1.604283656
100	1.602967769	1.602967769
101	1.602028098	1.602028098
102	1.600385034	1.600385034
103	1.598179899	1.598179899
104	1.596675956	1.596675956
105	1.595123081	1.595123081
106	1.594516593	1.594516593
107	1.593753543	1.593753543
108	1.592626448	1.592626448
109	1.590967148	1.590967148
110	1.589974595	1.589974595
111	1.588526125	1.588526125
112	1.588070901	1.588070901
113	1.584538594	1.584538594
114	1.582239018	1.582239018
115	1.580584379	1.580584379
116	1.577255318	1.577255318
117	1.573526575	1.573526575
118	1.570692594	1.570692594
119	1.569822212	1.569822212
120	1.565886558	1.565886558
121	1.564391182	1.564391182
122	1.563280921	1.563280921
123	1.562270882	1.562270882
124	1.561188308	1.561188308
125	1.559272853	1.559272853
126	1.557240374	1.557240374
127	1.556367252	1.556367252
128	1.553146747	1.553146747
129	1.550634133	1.550634133
130	1.549378009	1.549378009
131	1.548397813	1.548397813
132	1.547245858	1.547245858
133	1.546855307	1.546855307
134	1.546420808	1.546420808
135	1.543166056	1.543166056
136	1.542809844	1.542809844
137	1.542272273	1.542272273
138	1.538438351	1.538438351
139	1.538115944	1.538115944
140	1.533500438	1.533500438
141	1.53295486	1.53295486
142	1.532524161	1.532524161
143	1.532252393	1.532252393
144	1.532211418	1.532211418
145	1.531561053	1.531561053
146	1.529791151	1.529791151
147	1.52859285	1.52859285
148	1.527524516	1.527524516
149	1.526996952	1.526996952
150	1.525094615	1.525094615
151	1.524782057	1.524782057
152	1.522434831	1.522434831
153	1.52164713	1.52164713
154	1.521467874	1.521467874
155	1.521108843	1.521108843
156	1.520547778	1.520547778
157	1.519754207	1.519754207
158	1.518834096	1.518834096
159	1.516850536	1.516850536
